numero_documento,nombre,grado,seccion,sede
6669581755,Martina Paredes,1,1,Institución Educativa Juan Pablo II -Sede Primaria
7462594686,Valentina Suárez,1,1,Institución Educativa Juan Pablo II -Sede Primaria
9342040667,Renata Mendoza,1,1,Institución Educativa Juan Pablo II -Sede Primaria
3584068741,Isabella Moreno,1,1,Institución Educativa Juan Pablo II -Sede Primaria
2218436526,Juan Carlos Pérez García,1,1,Institución Educativa Juan Pablo II -Sede Primaria
4576118495,Renata Mendoza,1,1,Institución Educativa Juan Pablo II -Sede Primaria
1214757193,Martina Paredes,1,1,Institución Educativa Juan Pablo II -Sede Primaria
6384156402,Valentina Suárez,1,1,Institución Educativa Juan Pablo II -Sede Primaria
698181350,María Rodríguez,1,1,Institución Educativa Juan Pablo II -Sede Primaria
2610868395,Luis Alberto Hernández Rivera,1,1,Institución Educativa Juan Pablo II -Sede Primaria
3287434536,Isabella Moreno,1,1,Institución Educativa Juan Pablo II -Sede Primaria
6774264565,Sofía Castro,1,2,Institución Educativa Juan Pablo II -Sede Primaria
6316488950,Valentina Suárez,1,2,Institución Educativa Juan Pablo II -Sede Primaria
4421703112,Antonio Díaz,1,2,Institución Educativa Juan Pablo II -Sede Primaria
8138443984,Martina Paredes,1,2,Institución Educativa Juan Pablo II -Sede Primaria
2488855420,Mía Torres,1,2,Institución Educativa Juan Pablo II -Sede Primaria
184707020,David Ruiz,1,2,Institución Educativa Juan Pablo II -Sede Primaria
6368944388,Juan Carlos Pérez García,1,2,Institución Educativa Juan Pablo II -Sede Primaria
1295150150,Antonio Díaz,1,2,Institución Educativa Juan Pablo II -Sede Primaria
9630521846,Pedro Martínez,1,2,Institución Educativa Juan Pablo II -Sede Primaria
4306594289,Ana María García López,1,2,Institución Educativa Juan Pablo II -Sede Primaria
3868009213,Juan Carlos Pérez García,1,2,Institución Educativa Juan Pablo II -Sede Primaria
753940134,Elena Sánchez,2,1,Institución Educativa Juan Pablo II -Sede Primaria
449719839,Isabella Moreno,2,1,Institución Educativa Juan Pablo II -Sede Primaria
3922012512,Ana María García López,2,1,Institución Educativa Juan Pablo II -Sede Primaria
4997693076,Samuel Herrera,2,1,Institución Educativa Juan Pablo II -Sede Primaria
8584645455,Valentina Suárez,2,1,Institución Educativa Juan Pablo II -Sede Primaria
3438997717,Daniel Morales,2,1,Institución Educativa Juan Pablo II -Sede Primaria
7544789244,Juan Carlos Pérez García,2,1,Institución Educativa Juan Pablo II -Sede Primaria
8859926348,Valentina Suárez,2,1,Institución Educativa Juan Pablo II -Sede Primaria
5401296448,Luis Alberto Hernández Rivera,2,1,Institución Educativa Juan Pablo II -Sede Primaria
2167768872,Mía Torres,2,1,Institución Educativa Juan Pablo II -Sede Primaria
8077941393,Sofía Castro,2,1,Institución Educativa Juan Pablo II -Sede Primaria
2808268176,David Ruiz,2,2,Institución Educativa Juan Pablo II -Sede Primaria
5744652939,Sofía Castro,2,2,Institución Educativa Juan Pablo II -Sede Primaria
9094409087,Sofía Castro,2,2,Institución Educativa Juan Pablo II -Sede Primaria
3023581054,Samuel Herrera,2,2,Institución Educativa Juan Pablo II -Sede Primaria
2117226973,María Rodríguez,2,2,Institución Educativa Juan Pablo II -Sede Primaria
2829402753,Antonio Díaz,2,2,Institución Educativa Juan Pablo II -Sede Primaria
7792534881,Daniel Morales,2,2,Institución Educativa Juan Pablo II -Sede Primaria
8399875486,Valentina Suárez,2,2,Institución Educativa Juan Pablo II -Sede Primaria
5949770250,Samuel Herrera,2,2,Institución Educativa Juan Pablo II -Sede Primaria
3359755628,Luis Alberto Hernández Rivera,2,2,Institución Educativa Juan Pablo II -Sede Primaria
1935035997,Laura Ramírez,2,2,Institución Educativa Juan Pablo II -Sede Primaria
2478457740,Renata Mendoza,3,1,Institución Educativa Juan Pablo II -Sede Primaria
4707817066,Carla López,3,1,Institución Educativa Juan Pablo II -Sede Primaria
8261566105,Emilio González,3,1,Institución Educativa Juan Pablo II -Sede Primaria
1547127445,Pedro Martínez,3,1,Institución Educativa Juan Pablo II -Sede Primaria
3428837428,Carla López,3,1,Institución Educativa Juan Pablo II -Sede Primaria
9493189912,Diego Rojas,3,1,Institución Educativa Juan Pablo II -Sede Primaria
2501606924,Elena Sánchez,3,1,Institución Educativa Juan Pablo II -Sede Primaria
6741600661,José González,3,1,Institución Educativa Juan Pablo II -Sede Primaria
9848430673,Samuel Herrera,3,1,Institución Educativa Juan Pablo II -Sede Primaria
