numero_documento,nombre,departamento,titulo,sede
1395005861,Lucas Fernández,Historia,Magister,Institución Educativa Juan Pablo II -Sede Primaria
8111630127,Elena Sánchez,Matemáticas,Magister,Institución Educativa Juan Pablo II -Sede Primaria
7268750417,Ana María García López,Educación Física,Licenciado,Institución Educativa Juan Pablo II -Sede Primaria
653489316,Daniel Morales,Historia,Doctor,Institución Educativa Juan Pablo II -Sede Secundaria
9528302689,David Ruiz,Ciencias,Licenciado,Institución Educativa Juan Pablo II -Sede Primaria
6058861596,Emilio González,Música,Doctor,Institución Educativa Juan Pablo II -Sede Primaria
9737661917,Laura Ramírez,Matemáticas,Doctor,Institución Educativa Juan Pablo II -Sede Primaria
2122421656,Emilio González,Educación Física,Maestro,Institución Educativa Juan Pablo II -Sede Primaria
6939262495,María Rodríguez,Matemáticas,Doctor,Institución Educativa Juan Pablo II -Sede Secundaria
4604798461,Daniel Morales,Ciencias,Magister,Institución Educativa Juan Pablo II -Sede Primaria
2541977705,Samuel Herrera,Historia,Maestro,Institución Educativa Juan Pablo II -Sede Secundaria
5926039795,Juan Carlos Pérez García,Matemáticas,Magister,Institución Educativa Juan Pablo II -Sede Primaria
9624881186,Ana María García López,Educación Física,Profesor,Institución Educativa Juan Pablo II -Sede Secundaria
3374241320,Antonio Díaz,Matemáticas,Magister,Institución Educativa Juan Pablo II -Sede Secundaria
981916124,Samuel Herrera,Lenguaje,Profesor,Institución Educativa Juan Pablo II -Sede Secundaria
6872433470,Valentina Suárez,Ciencias,Maestro,Institución Educativa Juan Pablo II -Sede Secundaria
456464230,Emilio González,Ciencias,Doctor,Institución Educativa Juan Pablo II -Sede Secundaria
4515527752,José González,Ciencias,Licenciado,Institución Educativa Juan Pablo II -Sede Primaria
3327446474,Laura Ramírez,Historia,Profesor,Institución Educativa Juan Pablo II -Sede Secundaria
4636927413,Carla López,Arte,Doctor,Institución Educativa Juan Pablo II -Sede Primaria
745803553,Renata Mendoza,Matemáticas,Maestro,Institución Educativa Juan Pablo II -Sede Primaria
5515405050,Elena Sánchez,Ciencias,Profesor,Institución Educativa Juan Pablo II -Sede Primaria
858407899,Isabella Moreno,Matemáticas,Magister,Institución Educativa Juan Pablo II -Sede Primaria
2108302929,Carla López,Música,Maestro,Institución Educativa Juan Pablo II -Sede Primaria
3559126839,Juan Carlos Pérez García,Ciencias,Maestro,Institución Educativa Juan Pablo II -Sede Secundaria
